First Name;Surname;Description;Motivation;Flaws
Ophira;Lighthaven;A silhouette that appears younger or older depending on the angle.; To find a way to break the curse that forces them to obey any direct order given to them; They believe they’re unworthy of happiness and reject opportunities for joy
Tansy;Quicksilver;Scars that form words in a forgotten language.; To locate the last surviving member of their clan, who holds the key to their people’s survival; They seek to be needed, even if it means keeping others dependent on them
Zevran;Vaelith;A voice that makes crystal objects vibrate.; To discover why they are the only person who can see the invisible city floating above the clouds; They refuse to trust anyone, believing betrayal is inevitable
Dravik;Alderford;Hair that wraps around your fingers like snakes.; To find a way to free their soul, which is slowly being consumed by the magic they wield; They believe they must always be strong, never allowing themselves to be vulnerable
Haldane;Garnett;Skin that never tans, remaining milky white.; To uncover the secret of the ancient ruins beneath their village, where something is calling their name; They seek to be the center of attention, fearing that without it, they’ll be forgotten
Lirielle;Petro;Eyes that blink sideways, like those of a reptile.; To find a way to remove the magical collar that suppresses their powers; They refuse to let others see their true feelings, fearing it will make them a target
Perceval;Moonwhisper;An approach that makes no noise, even on dry leaves.;" To prove that the ""monster"" terrorizing the countryside is actually a misunderstood creature"; They believe they must always be in control, even when it harms those around them
Thalric;Ravenclaw;Hands always warm, as if bathed in a hot spring.; To find the person who left them a cryptic warning in a language they shouldn’t be able to read; They seek to be perfect, and punish themselves for every mistake
Zael;Whitehart;A smell of old parchment and dried ink.;" To uncover the truth about the ""miracle"" that saved their life, and what it really cost"; They refuse to let go of the past, allowing old wounds to fester
Dainn;Brambleford;Features that seem to change depending on the light.; To find a way to break the curse that turns everything they touch to gold; They believe they’re unworthy of love and push away anyone who tries to care for them
Haldis;Guoan;Skin that cracks slightly during periods of dryness.; To locate the lost temple of their deity, where a relic of immense power is hidden; They seek to be the hero, even when it’s not their place
Liorah;Boza;Eyes that glow in the dark, like those of a feline.; To discover why they are the only person who can enter the cursed forest without being affected by its magic; They refuse to admit they’re wrong, even when it’s obvious to everyone else
Pyralis;Cornin;Hair that floats weightlessly.; To find a way to lift the curse on their village, where the children are born without souls; They believe they must always be right, and dismiss anyone who disagrees
Darian;Stormveil;Scars that bleed a luminous substance.;" To uncover the truth about the ""accursed"" bloodline they were born into, and why it’s hunted"; They seek to be feared, believing it’s the only way to earn respect
Haldor;Yarrowshade;A voice that seems to come from everywhere at once.; To find a way to break the spell that forces them to forget everything they learn by sunset; They refuse to let others take the lead, believing they’re the only one capable
Liora;Aldercrest;Fingers that stretch slightly in the darkness.; To restore their family’s honor by completing a dangerous ritual their ancestor began; They believe they must always be self-sufficient, refusing to rely on anyone
Perseis;Blackveil;Skin that becomes covered with frost in winter.; To find the person who left them a key to a door that doesn’t exist; They seek to be the best, even if it means undermining others
Thalassa;Coldhaven;Eyes that reflect flames, even at a distance.; To uncover the secret of the magical storm that has raged for a century, and why it’s growing stronger; They refuse to admit they’re afraid, even when it’s obvious
Zephyr;Nightgale;A silhouette that seems to blur at the edges, like a mirage.; To find a way to break the curse that forces them to speak in riddles; They believe they must always be in motion, fearing that stopping will lead to stagnation
Dain;Everfrost;Hair that changes texture when touched.; To locate the last surviving member of their order, who holds the key to restoring their magic; They seek to be the center of every story, even when it’s not theirs to tell
Hesper;Frostveil;Skin that emits a low buzzing sound when in danger.; To discover why they are the only person who can hear the music that drives others mad; They refuse to let others take credit, believing they’re the only one who deserves it
Lirien;Grimshade;Features that vaguely resemble those of an animal.; To find a way to remove the mark on their hand, which brands them as a thief in every language; They believe they must always be prepared, and hoard resources to the detriment of others
Noe;Hollowbrook;An approach that leaves luminous imprints.;" To uncover the truth about the ""abandoned"" city, where the buildings are still warm to the touch"; They seek to be the voice of reason, even when emotions are what’s needed
Vaelor;Ironvale;Hands that seem too big for the body.; To find a way to break the curse that forces them to age backward; They refuse to let others make their own choices, believing they know what’s best
Aisling;Jarnstone;A smell of hot metal and sulfur.; To restore their family’s honor by winning a duel against the person who ruined them; They believe they must always be the protector, even when it’s not their role
Elspeth;Kaelthorn;Eyes that rarely blink, like those of a statue.; To find the person who left them a map to a place that doesn’t exist; They seek to be the martyr, believing suffering is the only way to prove their worth
Isabeau;Lightshade;Skin that becomes covered in geometric patterns under stress.; To uncover the secret of the magical plague turning people into statues; They refuse to let others see their true self, fearing rejection
Maribel;Moonshadow;A voice that seems whispered by several people at once.; To find a way to break the curse that forces them to see the world in reverse; They believe they must always be the peacemaker, even when conflict is necessary
Quillan;Nightshade;Hair that grows in perfect spirals.; To locate the lost heirloom that could save their dying culture; They seek to be the voice of the voiceless, but only when it serves their own narrative
Veyla;Overwatch;A silhouette that seems taller at night.; To discover why they are the only person who can see the shadows moving when no one is there; They refuse to let others take risks, believing they must shield them from harm
Aveline;Quickthorn;Scars that sing when touched.; To find a way to remove the magical brand on their tongue, which silences them when they try to speak the truth; They believe they must always be the provider, even when it’s not their responsibility
Elowen;Ravenford;Skin that wrinkles prematurely, a sign of wisdom or curse.;" To uncover the truth about the ""haunted"" island, where the ghosts seem to be waiting for them"; They seek to be the glue that holds everything together, even when it’s tearing them apart
Melvin;Stormcrest;Eyes that seem to contain miniature galaxies.; To find a way to break the curse that forces them to forget their own name; They refuse to let others see their struggles, believing they must always appear strong
Morwen;Thornweave;A move that makes the ground shake slightly.; To restore their family’s honor by completing the trial their ancestor failed; They believe they must always be the optimist, even when realism is needed
Rhian;Vaelstrom;Hands that leave a trail of stardust.; To find the person who left them a locket with a picture of someone they’ve never met; They seek to be the bridge between people, even when it’s not their place
Aric;Whiteridge;Hair that never grays, whatever your age.; To uncover the secret of the magical drought that’s turning their land to dust; They refuse to let others take responsibility, believing they must carry the burden alone
Elysande;Yarrowroot;Skin that is covered with ephemeral flowers in spring.; To find a way to break the curse that forces them to speak the thoughts of others; They believe they must always be the voice of caution, even when boldness is required
Isolara;Zephyrmere;Features reminiscent of the statues of the ancient gods.; To locate the last surviving member of their race, who holds the key to their people’s future; They seek to be the one who fixes everything, even when it’s not their fault
Marisande;Alderglen;A voice that seems to come from the future.; To discover why they are the only person who can see the colors of people’s souls; They refuse to let others see their doubts, believing they must always appear confident
Quentara;Bramblethorn;Eyes that reflect the memories of those who look at them.; To find a way to remove the magical shackles that suppress their emotions; They believe they must always be the one who understands, even when they don’t
Cal;Coldstream;Their hair is perpetually tangled with tiny leaves and twigs, as if they’ve just walked through a hidden forest.;" To uncover the truth about the ""abandoned"" mine, where the workers still toil underground"; They seek to be the one who knows all the answers, even when they’re wrong
Aelith;Duskwood;Their skin shimmers faintly in moonlight, revealing veins that glow like molten silver.; To find a way to break the curse that forces them to tell lies; They refuse to let others take the blame, believing they must always be the scapegoat
Kyara;Everhart;One of their eyes is slightly larger than the other, giving them an unsettling, asymmetrical gaze.; To restore their family’s honor by completing the quest their sibling died trying to finish; They believe they must always be the one who sacrifices, even when it’s not necessary
Keira;Frostglade;Their fingers are unusually long and slender, almost spider-like in their delicate movements.; To find the person who left them a key to a lock that doesn’t exist; They seek to be the one who remembers everything, even when forgetting would be kinder
Felton;Grimwald;A faint, unnatural scent of ozone and burnt sugar lingers around them at all times.; To uncover the secret of the magical fog that’s swallowing their village; They refuse to let others see their pain, believing they must always appear unbroken
Percy;Hollowshade;Their teeth are slightly pointed, not enough to be monstrous, but enough to make their smile unsettling.; To find a way to break the curse that forces them to see the future in their reflections; They believe they must always be the one who forgives, even when justice is needed
Loma;Ironvein;Their shadow stretches longer than it should, even in broad daylight.; To locate the lost city of their ancestors, where a secret waits that could change the world; They seek to be the one who never gives up, even when letting go would be wiser
